Profile Name,Title Desc,Selection Type,Choice Segment Id,Has Watched,Source,Utc Timestamp
Фйж,Captain Underpants Epic Choice-o-Rama,countdown_complete,Trashtruckula,false,tvui,2022-05-20 15:21:36
Фйж,Captain Underpants Epic Choice-o-Rama,countdown_complete,Trashtruckula,false,tvui,2022-05-20 15:21:03
Фйж,Carmen Sandiego: To Steal or Not to Steal,countdown_interrupted,Start Over,false,tvui,2022-05-20 15:07:27
Фйж,Carmen Sandiego: To Steal or Not to Steal,countdown_interrupted,Bonus Scene,false,tvui,2022-05-20 15:04:34
Фйж,Carmen Sandiego: To Steal or Not to Steal,countdown_interrupted,,false,tvui,2022-05-20 15:02:21
Фйж,Carmen Sandiego: To Steal or Not to Steal,countdown_interrupted,,false,tvui,2022-05-20 15:00:17
Фйж,Carmen Sandiego: To Steal or Not to Steal,countdown_interrupted,Trust Julia,false,tvui,2022-05-20 14:59:31
Фйж,Carmen Sandiego: To Steal or Not to Steal,countdown_interrupted,Trick Julia,false,tvui,2022-05-20 14:58:35
Фйж,Carmen Sandiego: To Steal or Not to Steal,countdown_interrupted,Accept,false,tvui,2022-05-20 14:56:07
Фйж,Carmen Sandiego: To Steal or Not to Steal,countdown_interrupted,Cleo,false,tvui,2022-05-20 14:53:57
Фйж,Carmen Sandiego: To Steal or Not to Steal,countdown_interrupted,Hide,false,tvui,2022-05-19 19:51:30
Фйж,Carmen Sandiego: To Steal or Not to Steal,countdown_interrupted,Ride,false,tvui,2022-05-19 19:50:55
Фйж,Carmen Sandiego: To Steal or Not to Steal,countdown_interrupted,Help Tigress,false,tvui,2022-05-19 19:49:32
Фйж,Carmen Sandiego: To Steal or Not to Steal,countdown_interrupted,Sneak,false,tvui,2022-05-19 19:47:35
Фйж,Carmen Sandiego: To Steal or Not to Steal,countdown_interrupted,Steal for VILE,false,tvui,2022-05-19 19:46:10
Фйж,Carmen Sandiego: To Steal or Not to Steal,countdown_interrupted,Rescue Now,false,tvui,2022-05-19 19:45:06
Фйж,Carmen Sandiego: To Steal or Not to Steal,countdown_interrupted,Top Floor,false,tvui,2022-05-19 19:42:24
Фйж,"Minecraft: Story Mode: Season 1: ""The Order of the Stone""",countdown_interrupted,Gabriel is awesome.,false,tvui,2022-05-19 19:39:14
Фйж,"Minecraft: Story Mode: Season 1: ""The Order of the Stone""",countdown_interrupted,Cool mask.,true,tvui,2022-05-19 19:37:01
Фйж,"Minecraft: Story Mode: Season 1: ""The Order of the Stone""",countdown_interrupted,Chicken-sized zombies,false,tvui,2022-05-19 19:35:22
Фйж,"Minecraft: Story Mode: Season 1: ""The Order of the Stone""",countdown_interrupted,Male Jesse,true,tvui,2022-05-19 19:32:30
Фйж,"You vs. Wild: Season 1: ""Searching for a Saint Bernard""",countdown_interrupted,Rappel,false,tvui,2019-04-16 16:17:18
Фйж,"You vs. Wild: Season 1: ""Searching for a Saint Bernard""",countdown_complete,Glissade,false,tvui,2019-04-16 16:15:05
Фйж,"You vs. Wild: Season 1: ""Searching for a Saint Bernard""",countdown_complete,Snow Cave,false,tvui,2019-04-16 16:01:28
Фйж,"You vs. Wild: Season 1: ""Searching for a Saint Bernard""",countdown_complete,Bear Poo,false,tvui,2019-04-16 15:58:13
